indexName,positiveRS,negativeRS,avgPositiveRS,avgNegativeRS,ratio,avgRS,rank
NIFTY CAPITAL MARKETS,13,0,0.17,0.0,1.0,0.17,0.17
NIFTY IT,5,2,0.17,-0.02,0.71,0.11,0.1149
NIFTY METAL,6,5,0.14,-0.09,0.55,0.03,0.03650000000000002
NIFTY INDIA DIGITAL,12,10,0.14,-0.1,0.55,0.03,0.032000000000000015
NIFTY BANK,5,3,0.09,-0.07,0.62,0.03,0.029199999999999993
NIFTY MIDCAP LIQUID 15,6,5,0.12,-0.09,0.55,0.02,0.02550000000000001
NIFTY TOP 10 EQUAL WEIGHT,3,2,0.05,-0.05,0.6,0.01,0.009999999999999995
NIFTY PRIVATE BANK,4,2,0.09,-0.17,0.67,0.0,0.004200000000000002
NIFTY DIVIDEND OPPORTUNITIES 50,14,26,0.16,-0.08,0.35,0.0,0.00399999999999999
NIFTY MIDSMALL HEALTHCARE,8,15,0.15,-0.08,0.35,-0.0,0.0004999999999999935
NIFTY MIDCAP150 MOMENTUM 50,13,25,0.16,-0.09,0.34,-0.01,-0.004999999999999984
NIFTY50 VALUE 20,7,9,0.09,-0.08,0.44,-0.01,-0.00520000000000001
NIFTY SERVICES SECTOR,13,11,0.09,-0.12,0.54,-0.01,-0.006599999999999988
NIFTY CONSUMER DURABLES,3,10,0.29,-0.1,0.23,-0.01,-0.010300000000000017
NIFTY REALTY,3,5,0.07,-0.06,0.38,-0.01,-0.010599999999999995
NIFTY FINANCIAL SERVICES 25/50,7,8,0.07,-0.09,0.47,-0.01,-0.0148
NIFTY FINANCIAL SERVICES,7,8,0.07,-0.09,0.47,-0.01,-0.0148
NIFTY MIDCAP SELECT,7,13,0.14,-0.1,0.35,-0.02,-0.016
NIFTY MIDCAP 100,23,54,0.15,-0.09,0.3,-0.02,-0.018000000000000002
NIFTY200 MOMENTUM 30,9,18,0.1,-0.08,0.33,-0.02,-0.020599999999999993
NIFTY500 MOMENTUM 50,11,31,0.2,-0.1,0.26,-0.02,-0.021999999999999992
NIFTY MIDCAP150 QUALITY 50,12,28,0.11,-0.08,0.3,-0.03,-0.022999999999999993
NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20,19,47,0.14,-0.09,0.29,-0.03,-0.023299999999999994
NIFTY MIDCAP 50,14,28,0.11,-0.09,0.33,-0.02,-0.023999999999999994
NIFTY HEALTHCARE INDEX,4,12,0.11,-0.07,0.25,-0.03,-0.025000000000000005
NIFTY SMALLCAP 50,16,24,0.13,-0.13,0.4,-0.02,-0.025999999999999995
NIFTY MIDCAP 150,33,85,0.13,-0.09,0.28,-0.03,-0.028399999999999995
NIFTY PSU BANK,2,7,0.07,-0.06,0.22,-0.03,-0.0314
NIFTY ALPHA 50,12,28,0.15,-0.11,0.3,-0.03,-0.032
NIFTY INDIA MANUFACTURING,19,47,0.08,-0.08,0.29,-0.04,-0.0336
NIFTY 200,51,105,0.1,-0.1,0.33,-0.04,-0.03399999999999999
NIFTY100 LOW VOLATILITY 30,8,16,0.07,-0.09,0.33,-0.04,-0.03719999999999999
NIFTY200 QUALITY 30,8,14,0.11,-0.12,0.36,-0.04,-0.0372
NIFTY 50,16,25,0.06,-0.1,0.39,-0.04,-0.037599999999999995
NIFTY50 EQUAL WEIGHT,16,25,0.06,-0.1,0.39,-0.04,-0.037599999999999995
NIFTY LARGEMIDCAP 250,61,136,0.1,-0.1,0.31,-0.04,-0.03799999999999999
NIFTY TOTAL MARKET,175,413,0.13,-0.11,0.3,-0.04,-0.038
NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100,24,55,0.13,-0.11,0.3,-0.04,-0.038
NIFTY MICROCAP 250,53,141,0.18,-0.12,0.27,-0.04,-0.03899999999999999
NIFTY MIDSMALLCAP 400,94,221,0.12,-0.11,0.3,-0.04,-0.041
NIFTY GROWTH SECTORS 15,3,8,0.09,-0.09,0.27,-0.04,-0.04139999999999999
NIFTY 500,122,272,0.11,-0.11,0.31,-0.04,-0.0418
NIFTY SMALLCAP 250,61,136,0.11,-0.11,0.31,-0.04,-0.0418
NIFTY500 MULTICAP 50:25:25,122,272,0.11,-0.11,0.31,-0.04,-0.0418
NIFTY200 ALPHA 30,6,20,0.11,-0.09,0.23,-0.04,-0.044
NIFTY100 QUALITY 30,8,16,0.11,-0.12,0.33,-0.04,-0.044099999999999986
NIFTY MNC,7,19,0.08,-0.09,0.27,-0.04,-0.04409999999999999
NIFTY INFRASTRUCTURE,9,15,0.04,-0.1,0.38,-0.05,-0.0468
NIFTY SMALLCAP 100,23,55,0.13,-0.12,0.29,-0.05,-0.0475
NIFTY ALPHA LOW-VOLATILITY 30,8,16,0.05,-0.1,0.33,-0.05,-0.05049999999999999
NIFTY 100,28,51,0.06,-0.11,0.35,-0.05,-0.05050000000000001
NIFTY100 EQUAL WEIGHT,28,51,0.06,-0.11,0.35,-0.05,-0.05050000000000001
NIFTY SMALLCAP250 MOMENTUM QUALITY 100,22,59,0.13,-0.12,0.27,-0.05,-0.05249999999999999
NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20,16,39,0.08,-0.11,0.29,-0.05,-0.054900000000000004
NIFTY100 ESG,25,51,0.07,-0.12,0.33,-0.06,-0.05729999999999998
NIFTY100 LIQUID 15,4,9,0.06,-0.11,0.31,-0.06,-0.0573
NIFTY AUTO,2,12,0.08,-0.08,0.14,-0.06,-0.0576
NIFTY PHARMA,2,13,0.09,-0.08,0.13,-0.06,-0.05789999999999999
NIFTY INDIA CONSUMPTION,9,16,0.07,-0.13,0.36,-0.06,-0.05800000000000001
NIFTY NEXT 50,12,26,0.06,-0.12,0.32,-0.06,-0.0624
NIFTY PSE,3,14,0.06,-0.09,0.18,-0.07,-0.063
