date,close,close_index,RS_INDEX,sym,sector
2024-11-21,7515.35,23349.9,0.08,NAUKRI,NIFTY 100
2024-11-21,453.35,23349.9,-0.08,PFC,NIFTY 100
2024-11-21,780.75,23349.9,0.06,SBIN,NIFTY 100
2024-11-21,6465.65,23349.9,-0.06,BAJFINANCE,NIFTY 100
2024-11-21,3178.45,23349.9,-0.08,TITAN,NIFTY 100
2024-11-21,773.95,23349.9,-0.0,DLF,NIFTY 100
2024-11-21,484.15,23349.9,-0.18,AMBUJACEM,NIFTY 100
2024-11-21,96.37,23349.9,-0.06,PNB,NIFTY 100
2024-11-21,4072.85,23349.9,-0.02,TCS,NIFTY 100
2024-11-21,911.7,23349.9,-0.18,TATACONSUM,NIFTY 100
2024-11-21,1223.0,23349.9,-0.11,RELIANCE,NIFTY 100
2024-11-21,1836.35,23349.9,0.12,HCLTECH,NIFTY 100
2024-11-21,228.5,23349.9,0.04,BANKBARODA,NIFTY 100
2024-11-21,24052.85,23349.9,-0.0,SHREECEM,NIFTY 100
2024-11-21,10954.85,23349.9,0.02,ULTRACEMCO,NIFTY 100
2024-11-21,3983.45,23349.9,-0.09,HAL,NIFTY 100
2024-11-21,6641.65,23349.9,0.08,SIEMENS,NIFTY 100
2024-11-21,325.9,23349.9,0.06,POWERGRID,NIFTY 100
2024-11-21,227.94,23349.9,-0.07,BHEL,NIFTY 100
2024-11-21,490.95,23349.9,-0.11,RECLTD,NIFTY 100
2024-11-21,6460.45,23349.9,-0.03,TRENT,NIFTY 100
2024-11-21,1525.15,23349.9,0.06,BHARTIARTL,NIFTY 100
2024-11-21,94.46,23349.9,-0.03,CANBK,NIFTY 100
2024-11-21,773.85,23349.9,-0.2,TATAMOTORS,NIFTY 100
2024-11-21,557.15,23349.9,0.16,WIPRO,NIFTY 100
2024-11-21,1702.25,23349.9,0.15,TECHM,NIFTY 100
2024-11-21,356.15,23349.9,-0.02,NTPC,NIFTY 100
2024-11-21,2382.8,23349.9,-0.13,HINDUNILVR,NIFTY 100
2024-11-21,188.3,23349.9,-0.08,GAIL,NIFTY 100
2024-11-21,6742.5,23349.9,0.05,APOLLOHOSP,NIFTY 100
2024-11-21,3101.95,23349.9,-0.03,TORNTPHARM,NIFTY 100
2024-11-21,2534.85,23349.9,-0.0,GRASIM,NIFTY 100
2024-11-21,6760.8,23349.9,-0.05,ABB,NIFTY 100
2024-11-21,2183.65,23349.9,-0.21,ADANIENT,NIFTY 100
2024-11-21,1114.65,23349.9,-0.17,ADANIPORTS,NIFTY 100
2024-11-21,1636.1,23349.9,-0.08,HAVELLS,NIFTY 100
2024-11-21,275.45,23349.9,0.04,BEL,NIFTY 100
2024-11-21,1569.25,23349.9,-0.1,BAJAJFINSV,NIFTY 100
2024-11-21,4882.1,23349.9,0.1,EICHERMOT,NIFTY 100
2024-11-21,406.0,23349.9,-0.1,COALINDIA,NIFTY 100
2024-11-21,2428.15,23349.9,-0.21,ASIANPAINT,NIFTY 100
2024-11-21,1804.7,23349.9,-0.14,ICICIGI,NIFTY 100
2024-11-21,140.22,23349.9,0.0,TATASTEEL,NIFTY 100
2024-11-21,674.4,23349.9,-0.02,HDFCLIFE,NIFTY 100
2024-11-21,678.55,23349.9,-0.04,ICICIPRULI,NIFTY 100
2024-11-21,1195.35,23349.9,-0.04,DRREDDY,NIFTY 100
2024-11-21,601.9,23349.9,-0.21,ATGL,NIFTY 100
2024-11-21,505.75,23349.9,-0.18,DABUR,NIFTY 100
2024-11-21,1780.0,23349.9,0.04,SUNPHARMA,NIFTY 100
2024-11-21,2802.2,23349.9,-0.1,SHRIRAMFIN,NIFTY 100
2024-11-21,242.15,23349.9,-0.13,ONGC,NIFTY 100
2024-11-21,1465.5,23349.9,-0.03,CIPLA,NIFTY 100
2024-11-21,408.05,23349.9,0.04,TATAPOWER,NIFTY 100
